
Дата,Кал ( ккал),Жир( г),Н/жир( г),Углев( г),Клетч( г),Сахар( г),Белк( г),Натри( мг),Холес( мг),Калий( мг)
  Bombbar Casein,117,"0,57",,"0,68",,,"27,19",,,
   34 г
  Магнит Банан,122,"0,14","0,14","29,87","3,56","16,44","2,06",,,
   137 г
  Harry's Сандвичный Хлеб Пшеничный,222,"4,8","0,64","38,4","2,4",,"6,4",960,,
"   2 x 1 ломтик, 80 г"
  Natty's Арахисовая Паста Кранчи,116,"9,31","0,95","3,99","1,33",0,"4,56","0,33",,
   19 г

"суббота, марта 8, 2025",2053,"67,07","0,15","237,86","5,1","34,8","123,19","701,5",,537
 Завтрак,556,"8,55","0,15","109,3","5,1","27,6","12,05","401,5",,537
  Ne Moloko Миндальное Молоко,200,6,,34,,"9,6",2,400,,
   400 мл
  Пятерочка Банан,134,"0,45","0,15","34,5","1,5",18,"1,65","1,5",,537
   150 г
